"tractid","total_population00","white_alone00","educational_attainment00","median_income00","median_rent00","income_category00","non_white00","total_population20","median_income20","median_home_value20","educational_attainment20","white_alone20","black_alone20","native_alone20","asian_alone20","native_hawaiian_pacific_islander20","some_other_race_alone20","two_or_more20","hispanic_or_latino20","income_category20","non_white_population20"
36005000200,3505,136,171,50817,730,"Moderate Income",3369,5058,62773,399400,530,39,933,0,158,0,0,0,3928,"High Income",5019
36005000400,3354,186,234,41019,643,"Moderate Income",3168,5944,82697,376500,1189,205,1701,30,33,0,0,56,3949,"High Income",5769
36005001600,5208,294,351,30104,558,"Moderate Income",4914,6115,33118,389600,454,226,1899,0,0,0,117,0,3873,"Moderate Income",5889
36005001900,1613,80,37,23671,461,"Low Income",1533,2817,40117,375000,420,218,932,0,68,0,81,14,1504,"Moderate Income",2599
36005002000,9101,116,302,19694,266,"Low Income",8985,9608,18370,391800,682,132,3515,261,104,0,0,0,5827,"Low Income",9707
36005002300,4305,41,152,20217,229,"Low Income",4264,4733,17426,0,130,11,1768,130,0,0,21,8,2850,"Low Income",4777
36005002500,5109,19,90,15662,340,"Low Income",5090,5760,22771,493300,310,141,1161,27,7,0,26,8,4417,"Low Income",5646
36005002701,3033,35,161,13077,264,"Low Income",2998,2958,17383,0,152,0,878,0,0,0,23,0,2057,"Low Income",2958
36005002702,4736,8,77,12042,332,"Low Income",4728,4538,13216,0,178,80,1460,64,0,0,0,0,2976,"Low Income",4500
36005002800,5718,49,522,38448,586,"Moderate Income",5669,5423,52294,261600,781,74,2882,0,40,0,0,213,2214,"Moderate Income",5349
36005003100,1504,112,110,28365,616,"Low Income",1392,1675,42353,0,152,29,427,0,29,0,0,0,1190,"Moderate Income",1646
36005003300,3090,11,50,11420,277,"Low Income",3079,3693,20413,402300,153,56,1193,124,0,0,0,49,2271,"Low Income",3637
36005003500,3448,64,150,20122,417,"Low Income",3384,3821,31638,423700,254,10,1060,36,0,0,0,0,2751,"Moderate Income",3847
36005003800,1328,77,56,53705,711,"Moderate Income",1251,1437,36667,374600,84,14,527,6,7,0,8,9,872,"Moderate Income",1429
36005003900,6022,30,104,23006,389,"Low Income",5992,6473,30357,222100,343,443,1034,39,0,0,0,0,4996,"Moderate Income",6069
36005004001,1365,180,195,35156,636,"Moderate Income",1185,1428,49706,423300,119,168,124,0,138,0,83,29,886,"Moderate Income",1260
36005004100,5240,21,71,15000,269,"Low Income",5219,5946,20137,381500,177,97,1215,0,45,0,0,25,4564,"Low Income",5849
36005004200,7762,174,531,31572,493,"Moderate Income",7588,7814,30710,143800,563,359,3685,57,120,0,0,19,3631,"Moderate Income",7512
36005004300,4780,45,105,21956,367,"Low Income",4735,6190,22940,424500,316,5,1597,35,62,0,0,130,4396,"Low Income",6220
36005004400,4671,203,158,14346,239,"Low Income",4468,4446,19077,383000,287,141,1573,17,173,0,0,0,2559,"Low Income",4322
36005004600,1376,100,89,22500,361,"Low Income",1276,1876,39643,131300,210,46,646,0,0,0,0,12,1172,"Moderate Income",1830
36005004800,3536,50,117,15817,590,"Low Income",3486,4536,32872,326300,264,51,1085,5,0,0,0,102,3298,"Moderate Income",4490
36005005001,4964,70,214,20938,617,"Low Income",4894,5101,24683,447200,312,62,1388,64,0,0,6,42,3539,"Low Income",5039
36005005002,5776,83,250,20938,617,"Low Income",5693,5583,27321,597500,311,71,1187,29,65,0,92,66,4094,"Low Income",5533
36005005100,5594,55,85,13469,226,"Low Income",5539,5721,18428,0,245,9,1472,122,30,0,0,0,4088,"Low Income",5712
36005005200,2112,8,54,20484,307,"Low Income",2104,2151,17454,212500,153,8,630,30,8,0,0,13,1492,"Low Income",2173
36005005300,1255,5,58,18567,573,"Low Income",1250,4167,13519,0,208,55,2124,40,4,0,0,54,1930,"Low Income",4152
36005005400,5550,106,154,24335,636,"Low Income",5444,6463,31692,417000,251,99,1243,477,114,0,72,113,4822,"Moderate Income",6841
36005005600,2724,10,147,26544,634,"Low Income",2714,2608,21367,429700,147,21,628,34,25,0,245,14,1641,"Low Income",2587
36005005902,2677,71,341,30720,708,"Moderate Income",2606,2757,29794,223500,479,146,631,0,36,0,86,50,1808,"Low Income",2611
36005006000,1088,29,37,27381,588,"Low Income",1059,1328,38321,416700,194,22,260,0,50,0,29,0,967,"Moderate Income",1306
36005006100,4039,78,446,34611,514,"Moderate Income",3961,3869,42200,22400,1046,84,2932,0,20,0,0,42,791,"Moderate Income",3785
